rep,trt,ph ,nt,et,pl,fg,tgw,sp,gy,sy,hi,gr,nr,bc
1,1,95.6,290,222.5,24.56,106.4,21.95,23,5.36,9.1,0.370677732,144720,73882,2.042971287
1,2,95,380,317.5,23.7,122.4,17.07,25,6.87,10.2,0.402460457,185490,113772,2.586379988
1,3,90.7,260,277.5,23.57,118.8,21.13,29,6.6,8.7,0.431372549,178200,105602,2.454613075
1,4,90.2,285,237.5,23.01,100.4,24.00,29,5.55,8.44,0.396711937,149850,76372,2.039385939
1,5,88.76,335,227.5,23.9,108.1,22.33,28.5,5.19,8.9,0.368346345,140130,65772,1.88453159
2,1,92.9,250,260,23.03,109,23.72,24.24,6.27,7.01,0.472138554,169290,98452,2.389819024
2,2,95.68,325,290,23.9,122.4,22.41,27.3,6.27,10.8,0.367311072,169290,97572,2.360495273
2,3,91.1,335,247.5,24.38,117.2,19.83,24.5,5.89,9.6,0.38024532,159030,86432,2.190556214
2,4,88.1,265,217.5,22.7,109.2,21.20,29.7,5.08,8.26,0.380809595,137160,63682,1.866681183
2,5,88.21,290,215,22.3,115.2,19.84,29.98,4.9,8.8,0.357664234,132300,57942,1.779230211
3,1,94.3,245,230,24.25,119.3,19.88,22.7,5.54,8.95,0.382332643,149580,78742,2.111578531
3,2,95.94,365,302.5,24.75,119,24.00,24.47,6.54,10.1,0.393028846,176580,104862,2.462143395
3,3,91.14,290,262.5,23.89,119.6,22.51,25.96,6.25,8.2,0.432525952,168750,96152,2.3244442
3,4,88.82,315,215,22.67,104,21.91,28.42,5.02,7.98,0.386153846,135540,62062,1.844633768
3,5,87.88,315,257.5,22.35,112.4,20.57,29.7,5.87,8.08,0.42078853,158490,84132,2.131445171
4,1,89.3,275,255,24,118.6,21.77,26.47,6.15,8.55,0.418367347,166050,95212,2.344080861
4,2,92.5,365,305,24.74,117.9,19.19,23.16,6.6,9.6,0.407407407,178200,106482,2.484731866
4,3,91.4,310,265,23.72,119.2,18.05,26.7,6.3,10.5,0.375,170100,97502,2.343039753
4,4,88.12,300,220,23.18,105.6,24.62,26.87,5.14,8.64,0.373004354,138780,65302,1.888728599
4,5,87.1,315,252.5,23.1,115.9,21.94,22.43,5.76,9.75,0.371373308,155520,81162,2.091503268
